Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Weight Unit,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Price / International,Compare At Price / International,Status
construction-helmet,Construction Helmet,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWCH,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,1200.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWCH.png,,,1200.00,1200.00,active
safety-glasses,Safety Glasses,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWGGS,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,700.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWGGS.png,,,700.00,700.00,active
goggles-safety-clear,Goggles Safety Clear,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWGSc,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,650.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWGSc.png,,,650.00,650.00,active
welding-goggles,Welding Goggles,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWGSW,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,915.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWGSW.png,,,915.00,915.00,active
rain-coat-industrial,Rain Coat Industrial,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWRCI,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,1130.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWRCI.png,,,1130.00,1130.00,active
safety-vest-reflective,Safety Vest Reflective,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWSVR,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,990.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWSVR.png,,,990.00,990.00,active
water-boot-calf-length-and-laced-boots,Water Boot Calf Length And Laced Boots,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWWBC&L,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,3000.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWWBC&L.png,,,3000.00,3000.00,active
water-boot,Water Boot,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWWBK,FALSE,,Knee Length,,,,,,0.0,kg,shopify,100,deny,manual,3500.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWWBK.png,,,3500.00,3500.00,active
water-boot,Water Boot,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWWBKST,FALSE,,Knee Lenght Steel Toe,,,,,,0.0,kg,shopify,100,deny,manual,4000.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWWBKST.png,,,4000.00,4000.00,active
chinese-slippers-female,Chinese Slippers Female,,croftshill-enterprise,Apparel & Accessories > Shoes,,CSCF,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,100.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CSCF.png,,,100.00,100.00,active
rfz-7-zinc-7,Rfz 7 Zinc 7,,croftshill-enterprise,Hardware > Building Materials > Roofing,,DUP,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,3810.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/DUP.png,,,3810.00,3810.00,active
amp-lug-nut-and-bolt,Amp Lug Nut And Bolt,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELALNB,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,160.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELALNB.png,,,160.00,160.00,active
amp-lug-solderless,Amp Lug Solderless,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELALS,FALSE,,70 A,,,,,,0.0,kg,shopify,100,deny,manual,700.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELALS.png,,,700.00,700.00,active
amp-lug-solderless,Amp Lug Solderless,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELALS125,FALSE,,125 A,,,,,,0.0,kg,shopify,100,deny,manual,1100.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELALS125.png,,,1100.00,1100.00,active
amp-lug-solderless,Amp Lug Solderless,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELALS175,FALSE,,175 A,,,,,,0.0,kg,shopify,100,deny,manual,1400.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELALS175.png,,,1400.00,1400.00,active
amp-lug-solderless,Amp Lug Solderless,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELALS225,FALSE,,225 A,,,,,,0.0,kg,shopify,100,deny,manual,2125.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELALS225.png,,,2125.00,2125.00,active
amp-lug-solderless,Amp Lug Solderless,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELALS300,FALSE,,300 500 A,,,,,,0.0,kg,shopify,100,deny,manual,3640.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELALS300.png,,,3640.00,3640.00,active
appliance-power-cord,Appliance Power Cord,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELAPC,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,125.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELAPC.png,,,125.00,125.00,active
regular-light-bulbs,Regular Light Bulbs,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,100.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB.png,,,100.00,100.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB100ADP,FALSE,,100 Amp Double Pole,,,,,,0.0,kg,shopify,100,deny,manual,3500.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB100ADP.png,,,3500.00,3500.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB15DP,FALSE,,15 Amp DP,,,,,,0.0,kg,shopify,100,deny,manual,1750.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB15DP.png,,,1750.00,1750.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB15DU,FALSE,,15 Amp Duplex,,,,,,0.0,kg,shopify,100,deny,manual,3900.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB15DU.png,,,3900.00,3900.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB15SP,FALSE,,15 A SP,,,,,,0.0,kg,shopify,100,deny,manual,760.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB15SP.png,,,760.00,760.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB20ADP,FALSE,,20 Amp DP,,,,,,0.0,kg,shopify,100,deny,manual,2200.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB20ADP.png,,,2200.00,2200.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB20ADU,FALSE,,20 Amp Duplex,,,,,,0.0,kg,shopify,100,deny,manual,3950.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB20ADU.png,,,3950.00,3950.00,active
gfci-breaker-20-a-single-pole,Gfci Breaker 20 A Single Pole,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB20AGFCI,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,15200.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB20AGFCI.png,,,15200.00,15200.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB20ASP,FALSE,,20 Amp SP,,,,,,0.0,kg,shopify,100,deny,manual,780.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB20ASP.png,,,780.00,780.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB30SP,FALSE,,30 A SP,,,,,,0.0,kg,shopify,100,deny,manual,780.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB30SP.png,,,780.00,780.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB3OADP,FALSE,,30 A DP,,,,,,0.0,kg,shopify,100,deny,manual,2600.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB3OADP.png,,,2600.00,2600.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB40ADP,FALSE,,40 Amp Double Pole,,,,,,0.0,kg,shopify,100,deny,manual,2800.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB40ADP.png,,,2800.00,2800.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB40ASP,FALSE,,40 A SP,,,,,,0.0,kg,shopify,100,deny,manual,850.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB40ASP.png,,,850.00,850.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB50ADP,FALSE,,50 Amp DP,,,,,,0.0,kg,shopify,100,deny,manual,2900.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB50ADP.png,,,2900.00,2900.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB60DP,FALSE,,60 A Double Pole,,,,,,0.0,kg,shopify,100,deny,manual,3000.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB60DP.png,,,3000.00,3000.00,active
breaker,Breaker,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELB70DP,FALSE,,70 Amp Double Pole,,,,,,0.0,kg,shopify,100,deny,manual,3300.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELB70DP.png,,,3300.00,3300.00,active
basa-box-2-way,Basa Box 2 Way,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBB2W20M,FALSE,,20 Mm,,,,,,0.0,kg,shopify,100,deny,manual,130.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBB2W20M.png,,,130.00,130.00,active
besa-box-3-way,Besa Box 3 Way,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBB3W20M,FALSE,,20 Mm,,,,,,0.0,kg,shopify,100,deny,manual,160.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBB3W20M.png,,,160.00,160.00,active
basa-box-3-way,Basa Box 3 Way,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBB3W25M,FALSE,,25 Mm,,,,,,0.0,kg,shopify,100,deny,manual,180.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBB3W25M.png,,,180.00,180.00,active
besa-box-4-way,Besa Box 4 Way,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBB4W20M,FALSE,,20 Mm,,,,,,0.0,kg,shopify,100,deny,manual,200.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBB4W20M.png,,,200.00,200.00,active
besa-box-4-way,Besa Box 4 Way,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBB4W25M,FALSE,,25 Mm,,,,,,0.0,kg,shopify,100,deny,manual,220.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBB4W25M.png,,,220.00,220.00,active
besa-box-covers,Besa Box Covers,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBBC,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,50.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBBC.png,,,50.00,50.00,active
basa-box-1-way,Basa Box 1 Way,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBBIW20M,FALSE,,20 Mm,,,,,,0.0,kg,shopify,100,deny,manual,120.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBBIW20M.png,,,120.00,120.00,active
regular-bulb-coloured,Regular Bulb Coloured,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBCR,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,120.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBCR.png,,,120.00,120.00,active
florescent-bulb-energy-saver,Florescent Bulb Energy Saver,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBF20W,FALSE,,20 W,,,,,,0.0,kg,shopify,100,deny,manual,500.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBF20W.png,,,500.00,500.00,active
florescent-bulb-energy-saver,Florescent Bulb Energy Saver,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBF23W,FALSE,,23 W,,,,,,0.0,kg,shopify,100,deny,manual,550.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBF23W.png,,,550.00,550.00,active
florescent-bulb-energy-saver,Florescent Bulb Energy Saver,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBF26W,FALSE,,26 W,,,,,,0.0,kg,shopify,100,deny,manual,580.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBF26W.png,,,580.00,580.00,active
florescent-bulb-energy-saver,Florescent Bulb Energy Saver,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBF36W,FALSE,,36 W,,,,,,0.0,kg,shopify,100,deny,manual,600.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBF36W.png,,,600.00,600.00,active
circular-florescent-bulb-refill,Circular Florescent Bulb Refill,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBFCR,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,565.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBFCR.png,,,565.00,565.00,active
flood-light-bulb,Flood Light Bulb,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBFL,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,690.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBFL.png,,,690.00,690.00,active
flash-light-bulb,Flash Light Bulb,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBFLB,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,40.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBFLB.png,,,40.00,40.00,active
led-flood-light-bulb,Led Flood Light Bulb,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBFLLED,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,2800.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBFLLED.png,,,2800.00,2800.00,active
circular-florescent-recp-bulb,Circular Florescent Recp Bulb,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBFRBC,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,875.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBFRBC.png,,,875.00,875.00,active
led-bulb,Led Bulb,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBLED,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,500.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBLED.png,,,500.00,500.00,active
led-tube,Led Tube,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBLEDT2,FALSE,,2,,,,,,0.0,kg,shopify,100,deny,manual,850.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBLEDT2.png,,,850.00,850.00,active
led-tube,Led Tube,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBLEDT4,FALSE,,4,,,,,,0.0,kg,shopify,100,deny,manual,1500.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBLEDT4.png,,,1500.00,1500.00,active
bonding-nipples,Bonding Nipples,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBN25,FALSE,,25 Mm,,,,,,0.0,kg,shopify,100,deny,manual,180.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBN25.png,,,180.00,180.00,active
bonding-nipples,Bonding Nipples,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBN20,FALSE,,20 Mm,,,,,,0.0,kg,shopify,100,deny,manual,100.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBN20.png,,,100.00,100.00,active
bonding-nipples,Bonding Nipples,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBN32MM,FALSE,,32 Mm,,,,,,0.0,kg,shopify,100,deny,manual,210.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBN32MM.png,,,210.00,210.00,active
bonding-nipples,Bonding Nipples,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBN38,FALSE,,38 Mm,,,,,,0.0,kg,shopify,100,deny,manual,220.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBN38.png,,,220.00,220.00,active
night-light-bulbs,Night Light Bulbs,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBNL,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,45.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBNL.png,,,45.00,45.00,active
duracell-battery,Duracell Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBS9VDE,FALSE,,9 Volt Duracell,,,,,,0.0,kg,shopify,100,deny,manual,500.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBS9VDE.png,,,500.00,500.00,active
duracell-battery,Duracell Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBSAAADE,FALSE,,AAA Duracell,,,,,,0.0,kg,shopify,100,deny,manual,130.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBSAAADE.png,,,130.00,130.00,active
duracell-battery,Duracell Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBSAADE,FALSE,,AA Duracell,,,,,,0.0,kg,shopify,100,deny,manual,140.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBSAADE.png,,,140.00,140.00,active
duracell-battery,Duracell Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBSCDE,FALSE,,Size C Duracell,,,,,,0.0,kg,shopify,100,deny,manual,250.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBSCDE.png,,,250.00,250.00,active
duracell-battery,Duracell Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBSDDE,FALSE,,Size D Duracell,,,,,,0.0,kg,shopify,100,deny,manual,280.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBSDDE.png,,,280.00,280.00,active
energizer-battery,Energizer Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBS9VDE,FALSE,,9 Volt Energizer,,,,,,0.0,kg,shopify,100,deny,manual,500.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBS9VDE.png,,,500.00,500.00,active
energizer-battery,Energizer Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBSAAADE,FALSE,,AAA Energizer,,,,,,0.0,kg,shopify,100,deny,manual,130.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBSAAADE.png,,,130.00,130.00,active
energizer-battery,Energizer Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBSAADE,FALSE,,AA Energizer,,,,,,0.0,kg,shopify,100,deny,manual,140.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBSAADE.png,,,140.00,140.00,active
energizer-battery,Energizer Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBSCDE,FALSE,,Size C Energizer,,,,,,0.0,kg,shopify,100,deny,manual,250.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBSCDE.png,,,250.00,250.00,active
energizer-battery,Energizer Battery,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBSDDE,FALSE,,Size D Energizer,,,,,,0.0,kg,shopify,100,deny,manual,280.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBSDDE.png,,,280.00,280.00,active
duracell-battery-carging-pack,Duracell Battery Carging Pack,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELBSCPD,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,5000.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELBSCPD.png,,,5000.00,5000.00,active
electrical-conduit,Electrical Conduit,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELC20,FALSE,,20 Mm,,,,,,0.0,kg,shopify,100,deny,manual,340.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELC20.png,,,340.00,340.00,active
electrical-conduit,Electrical Conduit,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELC25,FALSE,,25 Mm,,,,,,0.0,kg,shopify,100,deny,manual,400.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELC25.png,,,400.00,400.00,active
electrical-conduit,Electrical Conduit,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELC32mm,FALSE,,32 Mm,,,,,,0.0,kg,shopify,100,deny,manual,600.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELC32mm.png,,,600.00,600.00,active
electrical-conduit,Electrical Conduit,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELC38mm,FALSE,,38 Mm,,,,,,0.0,kg,shopify,100,deny,manual,880.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELC38mm.png,,,880.00,880.00,active
electrical-conduit,Electrical Conduit,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELC50,FALSE,,50 Mm,,,,,,0.0,kg,shopify,100,deny,manual,1400.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELC50.png,,,1400.00,1400.00,active
electrical-bend,Electrical Bend,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELCB20M,FALSE,,20 M,,,,,,0.0,kg,shopify,100,deny,manual,140.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELCB20M.png,,,140.00,140.00,active
electrical-bend,Electrical Bend,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELCB25M,FALSE,,25 Mm,,,,,,0.0,kg,shopify,100,deny,manual,170.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELCB25M.png,,,170.00,170.00,active
electrical-bend,Electrical Bend,,croftshill-enterprise,Hardware > Power & Electrical Supplies,,ELCB32mm,FALSE,,32 Mm,,,,,,0.0,kg,shopify,100,deny,manual,230.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/ELCB32mm.png,,,230.00,230.00,active
