Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Weight Unit,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Price / International,Compare At Price / International,Status
cello-tape,Cello Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTC1/2'',FALSE,Length,1 2 72 Yds,,,,,,0.0,kg,,0,deny,manual,200 00,,FALSE,TRUE,,,,,??,???,draft
cello-tape,Cello Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTC2,FALSE,Length,2 72 Yds,,,,,,0.0,kg,,0,deny,manual,500 00,,FALSE,TRUE,,,,,??,???,draft
cello-tape,Cello Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTC3/4'',FALSE,Length,3 4 72 Yds,,,,,,0.0,kg,,0,deny,manual,270 00,,FALSE,TRUE,,,,,??,???,draft
duct-tape,Duct Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTDL,FALSE,Size,Large,,,,,,0.0,kg,,0,deny,manual,1370 00,,FALSE,TRUE,,,,,??,???,draft
duct-tape,Duct Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTDM-30y,FALSE,Length,Medium 2 X 30 Yds,,,,,,0.0,kg,,0,deny,manual,850 00,,FALSE,TRUE,,,,,??,???,draft
duct-tape,Duct Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTDS-10y,FALSE,Length,Small 2 X 10 Yds,,,,,,0.0,kg,,0,deny,manual,500 00,,FALSE,TRUE,,,,,??,???,draft
masking-tape,Masking Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTM.75'',FALSE,Length,3 4,,,,,,0.0,kg,,0,deny,manual,470 00,,FALSE,TRUE,,,,,??,???,draft
masking-tape,Masking Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTM1'',FALSE,Length,1,,,,,,0.0,kg,,0,deny,manual,550 00,,FALSE,TRUE,,,,,??,???,draft
masking-tape,Masking Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTM1.5,FALSE,Length,1 5,,,,,,0.0,kg,,0,deny,manual,680 00,,FALSE,TRUE,,,,,??,???,draft
masking-tape,Masking Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTM2'',FALSE,Length,2,,,,,,0.0,kg,,0,deny,manual,735 00,,FALSE,TRUE,,,,,??,???,draft
painters-tape,Painters Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTMP2,FALSE,Length,2,,,,,,0.0,kg,,0,deny,manual,850 00,,FALSE,TRUE,,,,,??,???,draft
painters-tape,Painters Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTMP34,FALSE,Length,3 4,,,,,,0.0,kg,,0,deny,manual,650 00,,FALSE,TRUE,,,,,??,???,draft
thinset-dyna,Thinset Dyna,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTS,FALSE,Unit,300 Regular 75 PER LB,,,,,,0.0,kg,,0,deny,manual,1100 00,,FALSE,TRUE,,,,,??,???,draft
thinset-dyna,Thinset Dyna,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTSAL,FALSE,Unit,600 All Purpose 100 PER LB,,,,,,0.0,kg,,0,deny,manual,3300 00,,FALSE,TRUE,,,,,??,???,draft
thinset-dyna,Thinset Dyna,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTSW,FALSE,Unit,400 Wall 80 PER LB,,,,,,0.0,kg,,0,deny,manual,2400 00,,FALSE,TRUE,,,,,??,???,draft
wood-glue,Wood Glue,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADWGQ,FALSE,Unit,Qt,,,,,,0.0,kg,,0,deny,manual,560 00,,FALSE,TRUE,,,,,??,???,draft
brioler-ration-pellet-crumble,Brioler Ration Pellet Crumble,,croftshill-enterprise,Home & Garden,,AGAFBRP/C,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1650 00,,FALSE,TRUE,,,,,??,???,draft
crush-corn,Crush Corn,,croftshill-enterprise,Home & Garden,,AGAFCC,FALSE,Unit,Lb,,,,,,0.0,kg,,0,deny,manual,70 00,,FALSE,TRUE,,,,,??,???,draft
layer-ration,Layer Ration,,croftshill-enterprise,Home & Garden,,AGAFLR,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1695 00,,FALSE,TRUE,,,,,??,???,draft
pig-grower,Pig Grower,,croftshill-enterprise,Home & Garden,,AGAFPG,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1640 00,,FALSE,TRUE,,,,,??,???,draft
sow-and-boar-ration,Sow And Boar Ration,,croftshill-enterprise,Home & Garden,,AGAFSR,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1435 00,,FALSE,TRUE,,,,,??,???,draft
wheat-midds,Wheat Midds,,croftshill-enterprise,Home & Garden,,AGAFWM,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1435 00,,FALSE,TRUE,,,,,??,???,draft
cutlass-short-14,Cutlass Short 14,,croftshill-enterprise,Home & Garden,,AGC14S,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1000 00,,FALSE,TRUE,,,,,??,???,draft
sow-cutlass-20,Sow Cutlass 20,,croftshill-enterprise,Home & Garden,,AGC20S,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1450 00,,FALSE,TRUE,,,,,??,???,draft
cutlass-22,Cutlass 22,,croftshill-enterprise,Home & Garden,,AGC22S,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1500 00,,FALSE,TRUE,,,,,??,???,draft
bill-cutlass-crocodile-cane-knife,Bill Cutlass Crocodile Cane Knife,,croftshill-enterprise,Home & Garden,,AGCB/CK,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,2000 00,,FALSE,TRUE,,,,,??,???,draft
cutlass-file,Cutlass File,,croftshill-enterprise,Home & Garden,,AGCF,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,230 00,,FALSE,TRUE,,,,,??,???,draft
flair-cutlass-belly-woman,Flair Cutlass Belly Woman,,croftshill-enterprise,Home & Garden,,AGCFbw,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1500 00,,FALSE,TRUE,,,,,??,???,draft
hookie-cutlass,Hookie Cutlass,,croftshill-enterprise,Home & Garden,,AGCH,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1700 00,,FALSE,TRUE,,,,,??,???,draft
fork-heavy-duty-agri,Fork Heavy Duty Agri,,croftshill-enterprise,Home & Garden,,AGF,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,14600 00,,FALSE,TRUE,,,,,??,???,draft
fertilizer-14-28-14-vegetable,Fertilizer 14 28 14 Vegetable,,croftshill-enterprise,Home & Garden,,AGF14-28-14VL,FALSE,Size,Large,,,,,,0.0,kg,,0,deny,manual,6205 00,,FALSE,TRUE,,,,,??,???,draft
fertilizer-14-28-14-vegetable,Fertilizer 14 28 14 Vegetable,,croftshill-enterprise,Home & Garden,,AGF14-28-14VS,FALSE,Size,Small,,,,,,0.0,kg,,0,deny,manual,3300 00,,FALSE,TRUE,,,,,??,???,draft
fertilizer-16-9-18-all-purpose,Fertilizer 16 9 18 All Purpose,,croftshill-enterprise,Home & Garden,,AGF16-9-18APL,FALSE,Size,Large,,,,,,0.0,kg,,0,deny,manual,5720 00,,FALSE,TRUE,,,,,??,???,draft
fertilizer-16-9-18-all-purpose,Fertilizer 16 9 18 All Purpose,,croftshill-enterprise,Home & Garden,,AGF16-9-18APS,FALSE,Size,Small,,,,,,0.0,kg,,0,deny,manual,2935 00,,FALSE,TRUE,,,,,??,???,draft
fertilizer-sulphate-of-amonia-salt,Fertilizer Sulphate Of Amonia Salt,,croftshill-enterprise,Home & Garden,,AGF1SAL,FALSE,Size,Large,,,,,,0.0,kg,,0,deny,manual,4510 00,,FALSE,TRUE,,,,,??,???,draft
fertilizer-sulphate-of-amonia-salt,Fertilizer Sulphate Of Amonia Salt,,croftshill-enterprise,Home & Garden,,AGF1SAS,FALSE,Size,Small,,,,,,0.0,kg,,0,deny,manual,2310 00,,FALSE,TRUE,,,,,??,???,draft
champion-fungicide-lb,Champion Fungicide Lb,,croftshill-enterprise,Home & Garden,,AGFC,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1600 00,,FALSE,TRUE,,,,,??,???,draft
diothane-fungicide-500-g,Diothane Fungicide 500 G,,croftshill-enterprise,Home & Garden,,AGFD,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1400 00,,FALSE,TRUE,,,,,??,???,draft
fusilade-fungicide-pint,Fusilade Fungicide Pint,,croftshill-enterprise,Home & Garden,,AGFF,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,3110 00,,FALSE,TRUE,,,,,??,???,draft
kocide-lb,Kocide Lb,,croftshill-enterprise,Home & Garden,,AGFK,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1360 00,,FALSE,TRUE,,,,,??,???,draft
man-kocide-lb,Man Kocide Lb,,croftshill-enterprise,Home & Garden,,AGFMK,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,800 00,,FALSE,TRUE,,,,,??,???,draft
topsin-fungicide-lb,Topsin Fungicide Lb,,croftshill-enterprise,Home & Garden,,AGFT,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1400 00,,FALSE,TRUE,,,,,??,???,draft
garden-hose,Garden Hose,,croftshill-enterprise,Home & Garden,,AGGH100,FALSE,Length,100,,,,,,0.0,kg,,0,deny,manual,7800 00,,FALSE,TRUE,,,,,??,???,draft
garden-hose,Garden Hose,,croftshill-enterprise,Home & Garden,,AGGH50,FALSE,Length,50,,,,,,0.0,kg,,0,deny,manual,4700 00,,FALSE,TRUE,,,,,??,???,draft
garden-hose,Garden Hose,,croftshill-enterprise,Home & Garden,,AGGH75,FALSE,Length,75,,,,,,0.0,kg,,0,deny,manual,5400 00,,FALSE,TRUE,,,,,??,???,draft
garden-hose-mender-all,Garden Hose Mender All,,croftshill-enterprise,Home & Garden,,AGGHM,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,290 00,,FALSE,TRUE,,,,,??,???,draft
hvy-duty-gden-rake,Hvy Duty Gden Rake,,croftshill-enterprise,Home & Garden,,AGGRHD,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1500 00,,FALSE,TRUE,,,,,??,???,draft
garden-rake-metal,Garden Rake Metal,,croftshill-enterprise,Home & Garden,,AGGRM,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1050 00,,FALSE,TRUE,,,,,??,???,draft
plastic-garden-rake,Plastic Garden Rake,,croftshill-enterprise,Home & Garden,,AGGRP,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1100 00,,FALSE,TRUE,,,,,??,???,draft
garden-shade-cloth-greenhouse-mesh-peryd,Garden Shade Cloth Greenhouse Mesh Peryd,,croftshill-enterprise,Home & Garden,,AGGSC,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,470 00,,FALSE,TRUE,,,,,??,???,draft
seed-tray-germination,Seed Tray Germination,,croftshill-enterprise,Home & Garden,,AGGT,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,250 00,,FALSE,TRUE,,,,,??,???,draft
grass-whip-50-feet,Grass Whip 50 Feet,,croftshill-enterprise,Home & Garden,,AGGW,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,750 00,,FALSE,TRUE,,,,,??,???,draft
grass-whip-black-heavy-duty-ft,Grass Whip Black Heavy Duty Ft,,croftshill-enterprise,Home & Garden,,AGGWBHD,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,25 00,,FALSE,TRUE,,,,,??,???,draft
grass-whip-trim-head,Grass Whip Trim Head,,croftshill-enterprise,Home & Garden,,AGGWTH,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,3390 00,,FALSE,TRUE,,,,,??,???,draft
hoe,Hoe,,croftshill-enterprise,Home & Garden,,AGH1,FALSE,Type,1,,,,,,0.0,kg,,0,deny,manual,1940 00,,FALSE,TRUE,,,,,??,???,draft
hoe,Hoe,,croftshill-enterprise,Home & Garden,,AGH2,FALSE,Type,2,,,,,,0.0,kg,,0,deny,manual,2150 00,,FALSE,TRUE,,,,,??,???,draft
hoe,Hoe,,croftshill-enterprise,Home & Garden,,AGH3,FALSE,Type,3,,,,,,0.0,kg,,0,deny,manual,2460 00,,FALSE,TRUE,,,,,??,???,draft
antistress,Antistress,,croftshill-enterprise,Home & Garden,,AGMA,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,385 00,,FALSE,TRUE,,,,,??,???,draft
amprofur-antibiotic,Amprofur Antibiotic,,croftshill-enterprise,Home & Garden,,AGMAA,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1650 00,,FALSE,TRUE,,,,,??,???,draft
trisulvitrim-antibiotic,Trisulvitrim Antibiotic,,croftshill-enterprise,Home & Garden,,AGMAT,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1650 00,,FALSE,TRUE,,,,,??,???,draft
chicken-booster,Chicken Booster,,croftshill-enterprise,Home & Garden,,AGMCB,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,545 00,,FALSE,TRUE,,,,,??,???,draft
cleansing-drench,Cleansing Drench,,croftshill-enterprise,Home & Garden,,AGMDC,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,220 00,,FALSE,TRUE,,,,,??,???,draft
